Country,Province/Territory,District/Agency,Region/Type,Date,Indicators,Values,Unit
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Enrolment at Middle and Secondary Stage in Rural Areas by District,84640,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Enrolment at Middle and Secondary Stage in Urban Areas by District,13846,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Enrolment at Primary Stage in Rural Areas by District,174003,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Enrolment at Primary Stage in Urban Areas by District,9566,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Middle and Secondary Schools in Urban Areas by District,52,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,329,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,490,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,41,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Middle and Secondary Schools with Electricity in Rural Areas by District,412,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Middle and Secondary Schools with Electricity in Urban Areas by District,45,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,33,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Primary Schools with Drinking Water Facility in Rural Areas by District,770,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Primary Schools with Drinking Water Facility in Urban Areas by District,34,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Primary Schools with Electricity in Rural Areas by District,204,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Primary Schools with Electricity in Urban Areas by District,34,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Primary Schools with Latrines Facility in Rural Areas by District,617,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Boys Primary Schools with Latrines Facility in Urban Areas by District,25,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Enrolment at Middle and Secondary Stage in Rural Areas by District,74360,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Enrolment at Middle and Secondary Stage in Urban Areas by District,12057,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Enrolment at Primary Stage in Rural Areas by District,178307,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Enrolment at Primary Stage in Urban Areas by District,9438,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Middle and Secondary Schools in Urban Areas by District,54,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,342,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,380,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,44,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Middle and Secondary Schools with Electricity in Rural Areas by District,314,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Middle and Secondary Schools with Electricity in Urban Areas by District,44,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,36,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Primary Schools with Drinking Water Facility in Rural Areas by District,482,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Primary Schools with Drinking Water Facility in Urban Areas by District,29,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Primary Schools with Electricity in Rural Areas by District,175,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Primary Schools with Electricity in Urban Areas by District,28,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Primary Schools with Latrines Facility in Rural Areas by District,508,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Girls Primary Schools with Latrines Facility in Urban Areas by District,35,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,870,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,85,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Middle and Secondary Schools with Electricity in Rural Areas by District,726,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Middle and Secondary Schools with Electricity in Urban Areas by District,89,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Middle and Secondary Schools with Student Latrines Facility in Rural Areas by District,671,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Middle and Secondary Schools with Student Latrines Facility in Urban Areas by District,69,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Primary Schools with Drinking Water Facility in Rural Areas by District,1252,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Primary Schools with Drinking Water Facility in Urban Areas by District,63,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Primary Schools with Electricity in Rural Areas by District,379,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Primary Schools with Electricity in Urban Areas by District,62,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Primary Schools with Latrines Facility in Rural Areas by District,1125,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Primary Schools with Latrines Facility in Urban Areas by District,60,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Private Sector Universities by District (Including Sub-Campuses),2,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Public Sector Universities by District (Including Sub-Campuses),4,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Rural-Public Sector Educational Institutions,5656,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Students in Middle and Secondary Schools of Rural Areas by District,297626,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Students in Middle and Secondary Schools of Urban Areas by District,37197,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Students in Primary Schools of Rural Areas by District,213684,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Students in Primary Schools of Urban Areas by District,7936,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Teachers in Middle and Secondary Schools of Rural Areas by District,17402,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Teachers in Middle and Secondary Schools of Urban Areas by District,1977,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Teachers in Primary Schools of Rural Areas by District,8790,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Teachers in Primary Schools of Urban Areas by District,446,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Total Boys Middle and Secondary Schools in Rural Areas by District,846,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Total Boys Primary Schools in Rural Areas by District,2232,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Total Boys Primary Schools in Urban Areas by District,98,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Total Girls Middle and Secondary Schools in Rural Areas by District,774,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Total Girls Primary Schools in Rural Areas by District,1804,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Total Girls Primary Schools in Urban Areas by District,85,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Total Middle and Secondary Schools in Rural Areas by District,1620,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Total Middle and Secondary Schools in Urban Areas by District,106,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Total Primary Schools in Rural Areas by District,4036,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Total Primary Schools in Urban Areas by District,183,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Total Universities by District (Including Sub-Campuses),6,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Total-Public Sector Educational Institutions,5945,Number
Pakistan,Azad Jammu & Kashmir,Azad Jammu & Kashmir,Province,2010,Urban-Public Sector Educational Institutions,289,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Enrolment at Middle and Secondary Stage in Rural Areas by District,14496,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Enrolment at Middle and Secondary Stage in Urban Areas by District,1632,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Enrolment at Primary Stage in Rural Areas by District,27217,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Enrolment at Primary Stage in Urban Areas by District,735,Number
